"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Sonora","Secundaria",7704,636,"2005-2006"
"Sonora","Media superior",5935,317,"2005-2006"
"Sonora","Superior",6786,153,"2005-2006"
"Tabasco","Preescolar",4115,1981,"2005-2006"
"Tabasco","Primaria",9982,2143,"2005-2006"
"Tabasco","Secundaria",6616,692,"2005-2006"
"Tabasco","Media superior",5072,249,"2005-2006"
"Tabasco","Superior",4304,67,"2005-2006"
"Tamaulipas","Preescolar",4848,1793,"2005-2006"
"Tamaulipas","Primaria",14352,2417,"2005-2006"
"Tamaulipas","Secundaria",9491,663,"2005-2006"
"Tamaulipas","Media superior",6765,330,"2005-2006"
"Tamaulipas","Superior",8646,199,"2005-2006"
"Tlaxcala","Preescolar",1861,772,"2005-2006"
"Tlaxcala","Primaria",5732,761,"2005-2006"
"Tlaxcala","Secundaria",3844,324,"2005-2006"
"Tlaxcala","Media superior",2470,139,"2005-2006"
"Tlaxcala","Superior",2050,52,"2005-2006"
"Veracruz","Preescolar",14831,7495,"2005-2006"
"Veracruz","Primaria",45578,9744,"2005-2006"
"Veracruz","Secundaria",20687,2644,"2005-2006"
"Veracruz","Media superior",17110,1548,"2005-2006"
"Veracruz","Superior",11938,371,"2005-2006"
"Yucatán","Preescolar",3623,1269,"2005-2006"
"Yucatán","Primaria",8895,1376,"2005-2006"
"Yucatán","Secundaria",7744,511,"2005-2006"
"Yucatán","Media superior",4928,246,"2005-2006"
"Yucatán","Superior",5184,129,"2005-2006"
"Zacatecas","Preescolar",3208,1618,"2005-2006"
"Zacatecas","Primaria",8701,2069,"2005-2006"
"Zacatecas","Secundaria",5583,1110,"2005-2006"
"Zacatecas","Media superior",2797,168,"2005-2006"
"Zacatecas","Superior",2699,80,"2005-2006"
"Aguascalientes","Preescolar",2066,659,"2010-2011"
"Aguascalientes","Primaria",5304,752,"2010-2011"
"Aguascalientes","Secundaria",5152,348,"2010-2011"
"Aguascalientes","Media superior",3239,160,"2010-2011"
"Aguascalientes","Superior",4700,67,"2010-2011"
"Baja California","Preescolar",4899,1421,"2010-2011"
"Baja California","Primaria",15253,1702,"2010-2011"
"Baja California","Secundaria",11612,594,"2010-2011"
"Baja California","Media superior",6957,313,"2010-2011"
"Baja California","Superior",9741,176,"2010-2011"
"Baja California Sur","Preescolar",1110,396,"2010-2011"
"Baja California Sur","Primaria",3044,435,"2010-2011"
"Baja California Sur","Secundaria",2116,154,"2010-2011"
"Baja California Sur","Media superior",1700,80,"2010-2011"
"Baja California Sur","Superior",2076,45,"2010-2011"
"Campeche","Preescolar",1690,740,"2010-2011"
"Campeche","Primaria",4329,806,"2010-2011"
"Campeche","Secundaria",2960,318,"2010-2011"
"Campeche","Media superior",2130,112,"2010-2011"
"Campeche","Superior",2372,82,"2010-2011"
"Coahuila","Preescolar",4664,1803,"2010-2011"
"Coahuila","Primaria",12603,1889,"2010-2011"
"Coahuila","Secundaria",10413,550,"2010-2011"
"Coahuila","Media superior",7426,416,"2010-2011"
"Coahuila","Superior",9367,187,"2010-2011"
"Colima","Preescolar",1094,401,"2010-2011"
"Colima","Primaria",3037,490,"2010-2011"
"Colima","Secundaria",3035,168,"2010-2011"
"Colima","Media superior",1726,97,"2010-2011"
"Colima","Superior",2577,77,"2010-2011"
"Chiapas","Preescolar",12324,7364,"2010-2011"
"Chiapas","Primaria",30041,8511,"2010-2011"
"Chiapas","Secundaria",14068,1964,"2010-2011"
"Chiapas","Media superior",9915,723,"2010-2011"
